Index,GPS time,X,Y,Z,Lat,Lon,Alt (HAE)
0,5784,-2430550.69,-4703759.45,3544971.765,33.9821475,-117.326535,298.899
1,5785,-2430551.065,-4703758.457,3544972.807,33.98215883,-117.3265435,298.893
2,5786,-2430552.192,-4703757.091,3544973.754,33.9821695,-117.3265612,298.845
3,5787,-2430554.429,-4703755.473,3544974.217,33.982175,-117.3265907,298.763
4,5788,-2430557.643,-4703753.785,3544974.038,33.98217383,-117.32663,298.642
5,5789,-2430561.219,-4703752.145,3544973.5,33.98216883,-117.3266725,298.495
6,5790,-2430565.088,-4703750.328,3544972.971,33.982164,-117.3267187,298.334
7,5791,-2430569.177,-4703748.14,3544972.752,33.98216283,-117.3267688,298.156
8,5792,-2430573.442,-4703745.701,3544972.773,33.982164,-117.326822,297.994
9,5793,-2430577.949,-4703743.107,3544972.802,33.98216533,-117.3268782,297.815
10,5794,-2430582.791,-4703740.33,3544972.836,33.98216683,-117.3269385,297.632
11,5795,-2430587.943,-4703737.364,3544972.839,33.98216817,-117.3270028,297.41
12,5796,-2430593.429,-4703734.213,3544972.761,33.982169,-117.3270712,297.133
13,5797,-2430599.246,-4703730.957,3544972.649,33.98216933,-117.3271433,296.886
14,5798,-2430605.335,-4703727.585,3544972.496,33.98216917,-117.3272187,296.635
15,5799,-2430611.684,-4703724.076,3544972.338,33.982169,-117.327297,296.378
16,5800,-2430618.248,-4703720.423,3544972.238,33.9821695,-117.3273783,296.13
17,5801,-2430624.888,-4703716.698,3544972.099,33.98216983,-117.3274607,295.836
18,5802,-2430631.083,-4703713.217,3544971.978,33.98217017,-117.3275375,295.563
19,5803,-2430637.012,-4703709.946,3544971.908,33.9821705,-117.3276108,295.37
20,5804,-2430642.415,-4703706.972,3544971.993,33.982172,-117.3276775,295.284
21,5805,-2430646.449,-4703704.352,3544972.608,33.982179,-117.3277293,295.233
22,5806,-2430649.39,-4703701.794,3544973.924,33.9821935,-117.3277703,295.204
23,5807,-2430651.061,-4703699.305,3544976.048,33.98221667,-117.3277987,295.193
24,5808,-2430651.42,-4703697.079,3544978.688,33.9822455,-117.3278132,295.166
25,5809,-2430651.036,-4703695.116,3544981.492,33.98227617,-117.3278192,295.141
26,5810,-2430650.151,-4703693.377,3544984.304,33.982307,-117.3278193,295.095
27,5811,-2430649.087,-4703691.809,3544987.045,33.982337,-117.327817,295.067
28,5812,-2430648.311,-4703690.39,3544989.413,33.98236283,-117.3278165,295.05
29,5813,-2430647.844,-4703689.421,3544990.964,33.98237983,-117.3278168,295.025
30,5814,-2430647.671,-4703689.068,3544991.528,33.982386,-117.327817,295.014
31,5815,-2430647.671,-4703689.067,3544991.536,33.982386,-117.327817,295.018
32,5816,-2430647.672,-4703689.067,3544991.537,33.982386,-117.327817,295.019
33,5817,-2430647.673,-4703689.07,3544991.537,33.982386,-117.327817,295.021
34,5818,-2430647.672,-4703689.067,3544991.535,33.982386,-117.327817,295.018
35,5819,-2430647.673,-4703689.069,3544991.536,33.982386,-117.327817,295.021
36,5820,-2430647.672,-4703689.068,3544991.537,33.982386,-117.327817,295.02
37,5821,-2430647.673,-4703689.073,3544991.539,33.982386,-117.327817,295.025
38,5822,-2430647.673,-4703689.071,3544991.537,33.982386,-117.327817,295.022
39,5823,-2430647.671,-4703689.067,3544991.536,33.982386,-117.327817,295.018
40,5824,-2430647.673,-4703689.073,3544991.538,33.982386,-117.327817,295.024
41,5825,-2430647.672,-4703689.069,3544991.536,33.982386,-117.327817,295.02
42,5826,-2430647.644,-4703689.012,3544991.623,33.982387,-117.327817,295.016
43,5827,-2430647.374,-4703688.453,3544992.512,33.98239683,-117.3278172,294.998
44,5828,-2430646.694,-4703687.143,3544994.66,33.98242033,-117.3278172,294.975
45,5829,-2430645.667,-4703685.283,3544997.759,33.98245417,-117.3278165,294.945
46,5830,-2430644.461,-4703683.117,3545001.354,33.9824935,-117.3278157,294.9
47,5831,-2430643.183,-4703680.852,3545005.136,33.98253483,-117.3278147,294.859
48,5832,-2430641.836,-4703678.545,3545009.013,33.98257733,-117.3278132,294.814
